matrix,kernel,avg_ms,stddev_ms,min_ms,max_ms,gflops_avg,gflops_min,gflops_max,bandwidth_avg,bandwidth_min,bandwidth_max,avg_err,block_size
matrices/coPapersCiteseer.mtx,COO,4.998676,0.907875,4.137984,6.023168,12.8328,15.5020,10.6500,104.0517,125.6942,86.3533,6.98e-16,256
matrices/coPapersCiteseer.mtx,CSR-Scalar,1.139855,0.020135,1.113088,1.191936,56.2763,57.6297,53.8174,345.2748,353.5779,330.1883,0.00e+00,256
matrices/coPapersCiteseer.mtx,CSR-Vector,0.634757,0.001200,0.631808,0.636928,101.0574,101.5291,100.7129,620.0219,622.9160,617.9086,5.67e-16,256
matrices/coPapersCiteseer.mtx,CSR-Vector Shuffle,0.605102,0.001149,0.602112,0.607232,106.0100,106.5365,105.6382,650.4081,653.6381,648.1268,5.67e-16,256
matrices/coPapersCiteseer.mtx,cuSPARSE,0.518410,0.004269,0.510976,0.526336,123.7377,125.5379,121.8744,759.1735,770.2188,747.7416,5.66e-16,256
matrices/coPapersCiteseer.mtx,SELLpack-32,1.074565,0.002813,1.069056,1.080320,59.6957,60.0033,59.3777,718.2666,721.9680,714.4404,0.00e+00,256
matrices/spal_004.mtx,COO,42.855997,0.072237,42.686462,43.030529,2.1546,2.1631,2.1458,17.2985,17.3672,17.2284,2.11e-15,256
matrices/spal_004.mtx,CSR-Scalar,1.946235,0.003700,1.940480,1.955840,47.4435,47.5842,47.2105,286.0464,286.8947,284.6416,6.99e-17,256
matrices/spal_004.mtx,CSR-Vector,0.731976,0.004615,0.721920,0.745472,126.1466,127.9037,123.8628,760.5628,771.1568,746.7933,1.85e-15,256
matrices/spal_004.mtx,CSR-Vector Shuffle,0.731607,0.005013,0.723968,0.746496,126.2102,127.5419,123.6929,760.9461,768.9752,745.7689,1.85e-15,256
matrices/spal_004.mtx,cuSPARSE,0.648663,0.001421,0.644096,0.651264,142.3486,143.3579,141.7801,858.2476,864.3331,854.8200,1.86e-15,256
matrices/spal_004.mtx,SELLpack-32,1.853297,0.001896,1.848320,1.856512,49.8227,49.9569,49.7364,375.2501,376.2604,374.6002,6.99e-17,256
matrices/Queen_4147.mtx,COO,29.771059,0.025402,29.728767,29.818880,22.1355,22.1670,22.1000,179.3131,179.5682,179.0256,4.96e-16,256
matrices/Queen_4147.mtx,CSR-Scalar,10.617364,0.017424,10.569728,10.650624,62.0680,62.3477,61.8742,380.2199,381.9335,379.0326,2.97e-16,256
matrices/Queen_4147.mtx,CSR-Vector,5.786665,0.008301,5.773312,5.804032,113.8823,114.1457,113.5415,697.6270,699.2405,695.5395,4.46e-16,256
matrices/Queen_4147.mtx,CSR-Vector Shuffle,5.498409,0.101164,5.329920,5.671936,119.8526,123.6414,116.1858,734.2003,757.4098,711.7382,4.46e-16,256
matrices/Queen_4147.mtx,cuSPARSE,6.414111,0.014214,6.379520,6.452224,102.7420,103.2991,102.1351,629.3832,632.7958,625.6655,4.67e-16,256
matrices/Queen_4147.mtx,SELLpack-32,4.910920,0.003824,4.904960,4.922368,134.1905,134.3535,133.8784,827.7185,828.7242,825.7935,2.97e-16,256
matrices/kmer_U1a.mtx,COO,9.292124,0.093297,9.007104,9.333760,29.8701,30.8154,29.7369,355.5610,366.8123,353.9749,6.27e-18,256
matrices/kmer_U1a.mtx,CSR-Scalar,8.484680,0.072407,8.267776,8.513536,32.7127,33.5710,32.6019,355.8964,365.2334,354.6901,0.00e+00,256
matrices/kmer_U1a.mtx,CSR-Vector,51.221176,4.214175,39.071743,54.057983,5.4188,7.1038,5.1344,58.9535,77.2852,55.8598,2.99e-17,256
matrices/kmer_U1a.mtx,CSR-Vector Shuffle,42.950984,3.477512,32.638977,44.165119,6.4622,8.5039,6.2845,70.3050,92.5172,68.3722,2.99e-17,256
matrices/kmer_U1a.mtx,cuSPARSE,9.258230,0.007814,9.230336,9.267200,29.9795,30.0701,29.9505,326.1603,327.1460,325.8446,2.92e-17,256
matrices/kmer_U1a.mtx,SELLpack-32,9.249526,0.083737,8.997888,9.281536,30.0077,30.8469,29.9042,397.8364,408.9624,396.4643,0.00e+00,256
matrices/FullChip.mtx,COO,10.570711,0.003110,10.564608,10.577920,5.0369,5.0398,5.0335,44.8167,44.8426,44.7861,2.50e-15,256
matrices/FullChip.mtx,CSR-Scalar,340.303239,0.029540,340.236298,340.369415,0.1565,0.1565,0.1564,1.1143,1.1145,1.1141,2.83e-18,256
matrices/FullChip.mtx,CSR-Vector,20.170097,0.323422,19.649536,20.717567,2.6397,2.7097,2.5700,18.8003,19.2984,18.3035,4.49e-15,256
matrices/FullChip.mtx,CSR-Vector Shuffle,19.730432,0.277171,19.196928,20.215809,2.6986,2.7736,2.6338,19.2193,19.7534,18.7578,4.49e-15,256
matrices/FullChip.mtx,cuSPARSE,0.625234,0.003832,0.616448,0.633856,85.1585,86.3722,84.0001,606.4996,615.1437,598.2496,4.93e-15,256
matrices/FullChip.mtx,SELLpack-32,566.667124,0.034014,566.607849,566.731750,0.0940,0.0940,0.0939,2.6122,2.6124,2.6119,2.83e-18,256
matrices/audikw_1.mtx,COO,7.778550,0.262255,7.593984,8.280064,19.9656,20.4509,18.7563,161.6662,165.5954,151.8743,3.14e-16,256
matrices/audikw_1.mtx,CSR-Scalar,2.904043,0.004742,2.895872,2.914304,53.4784,53.6293,53.2901,327.3698,328.2935,326.2172,2.98e-16,256
matrices/audikw_1.mtx,CSR-Vector,1.455718,0.002199,1.452032,1.462272,106.6853,106.9561,106.2071,653.0769,654.7349,650.1499,3.43e-16,256
matrices/audikw_1.mtx,CSR-Vector Shuffle,1.340764,0.002126,1.336320,1.344512,115.8322,116.2174,115.5093,709.0703,711.4284,707.0938,3.43e-16,256
matrices/audikw_1.mtx,cuSPARSE,1.370665,0.007164,1.354752,1.385472,113.3054,114.6363,112.0944,693.6021,701.7492,686.1893,2.93e-16,256
matrices/audikw_1.mtx,SELLpack-32,1.555456,0.002079,1.549312,1.559552,99.8445,100.2404,99.5823,784.8577,787.9701,782.7964,2.98e-16,256
matrices/F1.mtx,COO,3.248128,0.550359,2.571264,3.728384,16.5247,20.8746,14.3961,133.8908,169.1364,116.6442,5.16e-16,256
matrices/F1.mtx,CSR-Scalar,1.016914,0.010088,0.993280,1.033216,52.7815,54.0374,51.9487,323.4504,331.1465,318.3470,2.69e-16,256
matrices/F1.mtx,CSR-Vector,0.525865,0.001118,0.523264,0.527360,102.0685,102.5758,101.7791,625.4860,628.5951,623.7128,5.13e-16,256
matrices/F1.mtx,CSR-Vector Shuffle,0.515850,0.001162,0.513024,0.518144,104.0500,104.6232,103.5894,637.6292,641.1419,634.8065,5.13e-16,256
matrices/F1.mtx,cuSPARSE,0.446075,0.001790,0.442368,0.449536,120.3256,121.3339,119.3992,737.3676,743.5465,731.6904,5.07e-16,256
matrices/F1.mtx,SELLpack-32,0.616284,0.002154,0.612352,0.621568,87.0933,87.6526,86.3529,710.5320,715.0946,704.4919,2.69e-16,256
matrices/Maragal_8.mtx,COO,0.407491,0.009132,0.384000,0.424960,6.4218,6.8147,6.1578,53.5005,56.7733,51.3012,3.23e-16,256
matrices/Maragal_8.mtx,CSR-Scalar,0.882340,0.002479,0.876544,0.887808,2.9658,2.9854,2.9475,18.9271,19.0523,18.8105,9.19e-17,256
matrices/Maragal_8.mtx,CSR-Vector,0.080855,0.001929,0.076800,0.084992,32.3645,34.0733,30.7891,206.5443,217.4498,196.4908,2.85e-16,256
matrices/Maragal_8.mtx,CSR-Vector Shuffle,0.075039,0.002090,0.070656,0.080896,34.8731,37.0362,32.3481,222.5537,236.3585,206.4397,2.85e-16,256
matrices/Maragal_8.mtx,cuSPARSE,0.040694,0.000578,0.039936,0.041984,64.3054,65.5256,62.3292,410.3859,418.1727,397.7740,2.82e-16,256
matrices/Maragal_8.mtx,SELLpack-32,1.793311,0.002457,1.787904,1.798144,1.4592,1.4636,1.4553,55.1307,55.2974,54.9825,9.19e-17,256
matrices/hollywood-2009.mtx,COO,32.258069,0.122966,31.977472,32.483330,7.0613,7.1232,7.0123,57.0555,57.5561,56.6598,1.69e-15,256
matrices/hollywood-2009.mtx,CSR-Scalar,5.372764,0.386371,4.809728,6.495232,42.3958,47.3587,35.0692,258.6181,288.8924,213.9252,0.00e+00,256
matrices/hollywood-2009.mtx,CSR-Vector,2.252206,0.001493,2.248704,2.255872,101.1376,101.2951,100.9732,616.9480,617.9088,615.9454,1.33e-15,256
matrices/hollywood-2009.mtx,CSR-Vector Shuffle,2.100695,0.001174,2.098176,2.104320,108.4320,108.5622,108.2453,661.4449,662.2390,660.3055,1.33e-15,256
matrices/hollywood-2009.mtx,cuSPARSE,1.814344,0.002347,1.811456,1.826816,125.5455,125.7456,124.6883,765.8384,767.0592,760.6097,1.34e-15,256
matrices/hollywood-2009.mtx,SELLpack-32,6.576415,0.066286,6.456320,6.704128,34.6363,35.2806,33.9765,547.5928,557.7787,537.1612,0.00e+00,256
matrices/Raj1.mtx,COO,0.168448,0.003943,0.159744,0.177152,15.4643,16.3069,14.7045,148.7659,156.8717,141.4566,3.61e-17,256
matrices/Raj1.mtx,CSR-Scalar,4.409815,0.323435,4.217856,5.076992,0.5907,0.6176,0.5131,4.7404,4.9562,4.1175,2.19e-17,256
matrices/Raj1.mtx,CSR-Vector,0.340808,0.001028,0.338944,0.343040,7.6434,7.6854,7.5937,61.3379,61.6752,60.9388,2.59e-17,256
matrices/Raj1.mtx,CSR-Vector Shuffle,0.326554,0.001246,0.324608,0.330752,7.9770,8.0248,7.8758,64.0153,64.3990,63.2027,2.59e-17,256
matrices/Raj1.mtx,cuSPARSE,0.036454,0.000547,0.035840,0.037888,71.4572,72.6821,68.7534,573.4406,583.2710,551.7428,2.47e-17,256
matrices/Raj1.mtx,SELLpack-32,9.447936,0.004276,9.437184,9.456640,0.2757,0.2760,0.2755,6.3334,6.3406,6.3275,2.19e-17,256
